	ID	product_name	review_star	review_count	price	img_url
0	0	Drunk Elephant Protini™ Polypeptide Moisturizer	4 stars	5K	$22.00 - $98.00	https://www.sephora.com/productimages/sku/s2025633-main-zoom.jpg?pb=2020-03-sephora-clean-2019&imwidth=162
1	1	Dr. Jart+ Cicapair™ Tiger Grass Color Correcting Treatment SPF 30	4 stars	3.2K	$18.00 - $52.00	https://www.sephora.com/productimages/sku/s1855709-main-zoom.jpg?imwidth=162
2	2	Tatcha The Dewy Skin Cream Plumping & Hydrating Moisturizer	4 stars	1.9K	$20.00 - $80.00	https://www.sephora.com/productimages/sku/s2181006-main-zoom.jpg?pb=2020-03-sephora-clean-2019&imwidth=162
3	3	Tatcha The Water Cream Oil-Free Pore Minimizing Moisturizer	4 stars	3.5K	$20.00 - $68.00	https://www.sephora.com/productimages/sku/s1932920-main-zoom.jpg?pb=2020-03-sephora-clean-2019&imwidth=162
4	4	CLINIQUE Moisture Surge 72-Hour Auto-Replenishing Hydrator	4.5 stars	1.3K	$12.00 - $54.00	https://www.sephora.com/productimages/sku/s2019461-main-zoom.jpg?imwidth=162
5	5	JLo Beauty That Blockbuster Wonder Cream with Hyaluronic Acid	4.5 stars	228	$58.00	https://www.sephora.com/productimages/sku/s2418820-main-zoom.jpg?imwidth=162
6	6	Skinfix Barrier+ Triple Lipid-Peptide Face Cream	4.5 stars	669	$50.00	https://www.sephora.com/productimages/sku/s2215945-main-zoom.jpg?pb=2020-03-allure-clean-2019&imwidth=162
7	7	Youth To The People Superberry Hydrate + Glow Dream Mask with Vitamin C	4.5 stars	1.5K	$15.00 - $48.00	https://www.sephora.com/productimages/sku/s2180941-main-zoom.jpg?pb=2020-03-allure-clean-2019&imwidth=162
8	8	La Mer Crème de la Mer Moisturizer	4 stars	714	$95.00 - $345.00	https://www.sephora.com/productimages/sku/s1932201-main-zoom.jpg?imwidth=162
9	9	The Ordinary Natural Moisturizing Factors + HA	4 stars	1.3K	$5.80 - $7.70	https://www.sephora.com/productimages/sku/s2031425-main-zoom.jpg?imwidth=162
10	10	Kiehl's Since 1851 Ultra Facial Cream	4.5 stars	1.2K	$22.00 - $55.00	https://www.sephora.com/productimages/sku/s2172526-main-zoom.jpg?imwidth=162
11	11	belif The True Cream Aqua Bomb	4.5 stars	5.4K	$22.00 - $62.00	https://www.sephora.com/productimages/sku/s1686427-main-zoom.jpg?pb=2020-03-sephora-clean-2019&imwidth=162
